region,lon,lat,e,d,date,road_type,accident_type,collision_type,severity,weather,vehicle_type,car_brand,age
Prague,14.360024929811425,50.069563715403426,-1044386,-747423,01.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Serious,Good,Motorcycle,BMW,26
Prague,14.553123922200038,50.13096496900345,-1039497,-732809,03.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Light Rain,Motorcycle,HONDA,32
Prague,14.346726412867515,50.01855304112898,-1049875,-749145,03.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,50
Prague,14.303835515168204,50.07700664174484,-1043013,-751293,04.01.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,RENAULT,77
Prague,14.39561101080465,50.09815183509518,-1041585,-744465,06.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Serious,Good,Motorcycle,KAWASAKI,47
Prague,14.295938724595914,50.09693322114911,-1040740,-751547,06.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,29
Prague,14.38679561605163,50.0746689442607,-1044086,-745447,06.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,HONDA,40
South Moravia,14.289194144526848,50.111579766541084,-1039060,-751800,06.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,47
Prague,14.486342501987894,50.12882645193472,-1039088,-737572,07.01.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,PEUGEOT,47
Prague,14.472743668388327,50.09113086478257,-1043110,-739104,08.01.2023,Local Road,Tram Collision,From Side (T-bone),Serious,Good,Car,ŠKODA,31
Prague,14.401361622025021,50.073430115406225,-1044365,-744433,10.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,52
Prague,14.513064164672397,50.10294176243271,-1042199,-736068,11.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Rain,Car,ŠKODA,31
Prague,14.309424820588944,50.02433831233017,-1048870,-751704,13.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Rain,Car,CITROEN,58
Prague,14.494747191925725,50.02922623289717,-1050145,-738476,13.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,AUDI,60
Prague,14.411652422461641,50.098158381976695,-1041741,-743328,14.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,50
Prague,14.443900423443806,50.02547517012824,-1050064,-742142,14.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,44
Prague,14.378232115915726,49.99225354155531,-1053082,-747309,14.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,46
Prague,14.430725786560657,50.07110386429777,-1044908,-742386,15.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,59
Prague,14.463488923699895,50.07789139900644,-1044479,-739960,15.01.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,ŠKODA,64
Prague,14.505184423323174,50.14234111112235,-1037781,-736034,17.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Truck,IVECO,52
Prague,14.288383284697558,50.05118281291792,-1045705,-752785,18.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Light Rain,Car,FORD,36
Prague,14.531378969944347,50.110263193486055,-1041569,-734660,18.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,53
Prague,14.46253039017152,50.06782412324563,-1045579,-740180,19.01.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,MAZDA,53
Prague,14.323454444232215,50.09165262077553,-1041593,-749678,17.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,YAMAHA,35
Prague,14.382103024015077,49.99074669519315,-1053286,-747057,21.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Snow,Truck,MERCEDES,44
Prague,14.471223539604537,50.05698358938313,-1046858,-739727,21.01.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,25
